Cell Type	Endothelial	Epithelial	Lymphoid	Myeloid	Stromal
GSM1402321	0.133906	0.317	0.175061	0.162752	0.211281
GSM1402322	0.132823	0.317335	0.179423	0.167874	0.202546
GSM1402323	0.132778	0.332034	0.174805	0.169369	0.191014
GSM1402324	0.123729	0.323791	0.17596	0.161171	0.215349
GSM1402325	0.135903	0.331068	0.17727	0.165606	0.190153
GSM1402326	0.127078	0.240504	0.202614	0.176441	0.253363
GSM1402327	0.13293	0.275555	0.178879	0.163344	0.249292
GSM1402328	0.139403	0.305263	0.172766	0.161666	0.220901
GSM1402329	0.134381	0.291393	0.184805	0.167795	0.221626
GSM1402330	0.135235	0.289449	0.189843	0.174812	0.210661
GSM1402331	0.13309	0.303456	0.176843	0.170585	0.216026
GSM1402332	0.13204	0.312705	0.182928	0.169402	0.202925
GSM1402333	0.135439	0.296298	0.18331	0.165703	0.21925
GSM1402334	0.126161	0.323468	0.171015	0.159171	0.220185
GSM1402335	0.14353	0.295303	0.190456	0.186379	0.184333
GSM1402336	0.129994	0.311209	0.174318	0.168145	0.216334
GSM1402337	0.134907	0.307674	0.169374	0.167774	0.220272
GSM1402338	0.134179	0.278859	0.195056	0.175459	0.216447
GSM1402339	0.13444	0.291251	0.189626	0.164861	0.219822
GSM1402340	0.128662	0.313535	0.17266	0.159421	0.225722
GSM1402341	0.129905	0.324572	0.17397	0.162778	0.208776
GSM1402342	0.132082	0.315025	0.176501	0.165662	0.21073
GSM1402343	0.134343	0.282471	0.186993	0.170815	0.225378
GSM1402344	0.134774	0.320603	0.175068	0.164394	0.205161
GSM1402345	0.13374	0.317769	0.176947	0.164918	0.206626
GSM1402346	0.125905	0.306937	0.175224	0.160636	0.231298
GSM1402347	0.122571	0.311352	0.166426	0.157022	0.242628
GSM1402348	0.132293	0.292401	0.180102	0.165774	0.229429
GSM1402349	0.129092	0.342721	0.168959	0.157409	0.20182
GSM1402350	0.133182	0.292106	0.18707	0.163796	0.223845
GSM1402351	0.133449	0.283328	0.177868	0.162305	0.243049
GSM1402352	0.130487	0.301677	0.170466	0.154854	0.242516
GSM1402353	0.131953	0.30548	0.176131	0.161568	0.224868
GSM1402354	0.126613	0.330313	0.171889	0.158272	0.212914
GSM1402355	0.134757	0.317045	0.164113	0.15625	0.227836
GSM1402356	0.124638	0.307293	0.176276	0.159181	0.232612
GSM1402357	0.131566	0.30125	0.177433	0.164887	0.224864
GSM1402358	0.127323	0.300645	0.173147	0.155328	0.243558
GSM1402359	0.131802	0.299568	0.176677	0.17321	0.218742
GSM1402360	0.121062	0.266083	0.191049	0.165134	0.256672
GSM1402361	0.122188	0.323149	0.177844	0.155133	0.221686
GSM1402362	0.131502	0.279839	0.191259	0.167839	0.229562
GSM1402363	0.129565	0.315212	0.180044	0.168057	0.207122
GSM1402364	0.124492	0.2999	0.175023	0.173562	0.227024
GSM1402365	0.129519	0.306549	0.177187	0.160739	0.226006
GSM1402366	0.121898	0.325642	0.163385	0.150699	0.238377
GSM1402367	0.129962	0.355651	0.173279	0.159799	0.181309
GSM1402368	0.127306	0.31107	0.167448	0.163043	0.231132
GSM1402369	0.129526	0.2831	0.175968	0.163856	0.24755
GSM1402370	0.135545	0.317445	0.171613	0.168135	0.207263
GSM1402371	0.133351	0.349625	0.171498	0.162375	0.183152
GSM1402372	0.132965	0.295792	0.189228	0.165067	0.216948
GSM1402373	0.128918	0.308574	0.178368	0.160933	0.223207
GSM1402374	0.131171	0.312482	0.171489	0.162277	0.222581
GSM1402375	0.137647	0.308196	0.175652	0.162578	0.215928
GSM1402376	0.135816	0.310774	0.169209	0.175816	0.208384
GSM1402377	0.129212	0.319409	0.165413	0.160928	0.225038
GSM1402378	0.139125	0.332181	0.176824	0.163652	0.188217
GSM1402379	0.130269	0.312535	0.178415	0.16231	0.21647
GSM1402380	0.124118	0.301615	0.173802	0.158691	0.241773
GSM1402381	0.134755	0.279132	0.179613	0.171036	0.235463
GSM1402382	0.132477	0.322276	0.169934	0.158321	0.216992
GSM1402383	0.132283	0.281171	0.18437	0.17418	0.227995
GSM1402384	0.131282	0.330129	0.179214	0.157212	0.202162
GSM1402385	0.130305	0.281103	0.185935	0.174469	0.228187
GSM1402386	0.13163	0.316829	0.169389	0.161512	0.220639
GSM1402387	0.126941	0.28103	0.187229	0.16364	0.24116
GSM1402388	0.130278	0.307397	0.181271	0.171411	0.209644
GSM1402389	0.133227	0.306024	0.183578	0.169183	0.207989
GSM1402390	0.127134	0.335621	0.17433	0.162587	0.200328
GSM1402391	0.131031	0.296169	0.180965	0.16649	0.225345
GSM1402392	0.134799	0.325139	0.176339	0.16349	0.200233
GSM1402393	0.125589	0.314725	0.166425	0.159455	0.233806
GSM1402394	0.125468	0.282226	0.178554	0.161427	0.252325
GSM1402395	0.129399	0.312923	0.164649	0.1523	0.240729
GSM1402396	0.129255	0.328191	0.175687	0.159207	0.207661
GSM1402397	0.129811	0.295084	0.173971	0.159501	0.241633
GSM1402398	0.131065	0.325636	0.170408	0.159705	0.213186
GSM1402399	0.130388	0.281783	0.188966	0.178069	0.220794
GSM1402400	0.133978	0.321212	0.170787	0.163129	0.210894
GSM1402401	0.12817	0.328854	0.171172	0.157545	0.214259
GSM1402402	0.137049	0.239102	0.200501	0.178859	0.244489
GSM1402403	0.136028	0.241819	0.206211	0.180489	0.235452
GSM1402404	0.131191	0.29511	0.179596	0.16367	0.230433
GSM1402405	0.130801	0.319722	0.16868	0.165909	0.214889
GSM1402406	0.13871	0.294593	0.186937	0.16567	0.214091
GSM1402407	0.127236	0.299025	0.18286	0.165763	0.225116
GSM1402408	0.134407	0.290804	0.178315	0.170048	0.226427
GSM1402409	0.132612	0.31919	0.173374	0.160473	0.21435
GSM1402410	0.132193	0.295049	0.174357	0.169477	0.228925
GSM1402411	0.133677	0.311984	0.174486	0.162618	0.217236
GSM1402412	0.129743	0.299589	0.179387	0.163676	0.227605
GSM1402413	0.133401	0.32013	0.172838	0.166188	0.207443
GSM1402414	0.12735	0.302147	0.172353	0.164371	0.233779
GSM1402415	0.130294	0.322707	0.172301	0.165169	0.20953
GSM1402416	0.129719	0.295254	0.182395	0.164697	0.227935
GSM1402417	0.133686	0.332343	0.171774	0.161338	0.200859
GSM1402418	0.135218	0.278516	0.183447	0.174103	0.228715
GSM1402419	0.126853	0.320309	0.17503	0.157314	0.220495
GSM1402420	0.137342	0.338861	0.168993	0.162874	0.191931
GSM1402421	0.138067	0.267574	0.192238	0.168469	0.233652
GSM1402422	0.13267	0.324821	0.166823	0.171381	0.204304
GSM1402423	0.132933	0.314487	0.178275	0.167914	0.206392
GSM1402424	0.125102	0.253122	0.195884	0.170335	0.255557
GSM1402425	0.125417	0.285626	0.1844	0.173111	0.231446
GSM1402426	0.141316	0.323702	0.182586	0.168861	0.183535
GSM1402427	0.135051	0.299086	0.17448	0.162288	0.229095
GSM1402428	0.13256	0.239892	0.230946	0.172486	0.224117
GSM1402429	0.134467	0.324931	0.178456	0.167201	0.194945
GSM1402430	0.130547	0.305237	0.176362	0.166604	0.22125
GSM1402431	0.139445	0.31391	0.178909	0.167465	0.200271
GSM1402432	0.134634	0.309049	0.177098	0.164142	0.215076
GSM1402433	0.130477	0.31535	0.176604	0.161445	0.216125
GSM1402434	0.138015	0.271417	0.19022	0.173816	0.226532
GSM1402435	0.126957	0.201077	0.223197	0.187239	0.261529
